,text,label
10,不好的方面，一，屏幕边缘的位置触摸不灵敏比如微信朋友圈的评论项那里经常点击没反应，要靠屏幕中央一点才行二，本人后面翻看评论区，和百度以及贴吧，N多的中招客户，或贴膜时进液的，或者吃面水蒸汽弄到的，或者冲凉房水蒸汽弄到的，还有洗完手未全干时进液的，总而言之，使用这手机，你得夏天尽量不要出汗，不要下雨天带出，不要洗完手使用，远离液体，不然分分钟，你的锤子手机就真成锤子手机了，售后可不管的。尽管我的手机还没有遇到屏幕进液，但是经过我的了解确实存在这样的问题，我也问过客服，她也强调手机是不防水的，也说明了手机的防水比一般的手机做的差，可能是设计缺陷吧！战战兢兢的用着现在。三，字体偏小不能调，设置里调到最大也只是设置界面的字体大了，桌面和其他的界面的字还是偏小。四，SOS系统不能安装桌面小插件，没有实时网速得下载一个，系统占用空间大，估计占了2.5G，五，通知栏有待提高人性化，没法一眼看到那个软件有通知，QQ微信的消息常常错过，亮度调节只能通过音量键-调出弹窗，而在视屏或者音乐软件时，又调不出弹窗，调节亮度得退出软件，按下-才能调节，我也是很无语啊！还有没有定时关机我是锤友，良药苦口利于病，加油,差评
11,"操作系统非常差，连最基本的安卓功能都不完善，购买留意！！！
1.默认桌面无法修改，无法使用其他桌面软件替代，本身的桌面小工具无法系统设置快捷方式。
2.双开应用限制微信，微博，QQ，其他别想。
3.双面屏并不会加长续航，本身是手机硬件耗电率高。
4.墨水屏光线暗一点基本就是瞎，广告中的墨水屏已经是加了亮度，借用kindle自动亮度偷换概念。（违反广告宣传方式）
5.售后政策除了选择寄送手机，让你刷机，清空数据之后，让快递折磨你的手机吧。系统故障没有后续的服务，客服基本就是个传话的。
6.屏幕亮度自动亮度就是智障，每次都恢复原来低亮度，然后再一抽一抽的升亮度，阳光下还是无法直视，折光太高。
7.刷新率是一个问题，飞快的刷刷，很多应用进入时，你会以为是软件有有问题，估计这是耗电的凶手。
8.安卓手机的背景运行是个问题，冰箱软件还是鸡肋，yota3 也没好的解决方案。（圈钱机谁会想那么多）
9.用蓝牙的通话时，音量非常大，最低值也是非常大声，晚上还是不要带着耳机聊天，除非你没什么听力。
google 商店的问题，我是装了能用，一段时间闪退无法使用需要重置系统才能使用，然后吧继续闪退，或者不关机不关机就会卡死不知yota3研发部门加了什么料吧。",差评
12,虽然这个电脑很垃圾，本来不想给差评的。但是今天老子敲代码呢，敲了一下午，也没发热，电脑莫名其妙蓝屏了，一下午工作全没了，虚拟机还不好使了，当时也没想存快照，原来的快照还不好使，真想问候全家。。。现在啥也不做了就好好数落下这个垃圾电脑。。。1.买来的时候封条就是开了的我问了客服啥原因，客服一开始就不愿意给正面回答，我咨询群里人，别人告诉我换货，我都没开机找客服换货，客服说我是无理由换货要出邮费？喵喵喵？你封条都是开我我都不敢拆你说我无理由，我就直接拆了看硬盘使用次数想打他脸，娱乐大师结果才十二次，那这次我就算了，至少不是矿机而且我很忙也要用电脑要不就在618买了。。。然后，用了一天变压器电流不稳滋滋响，找客服，客服直接让我去买个稳压器？你变压器zz的一笔还要我花钱伺候？等有时间了，想在寝室连显示玩游戏，帧数不过六十，看弹幕都会明显感觉卡，客服也解决不了，这个毛病其他笔记本上也有，有天网上看视频发现漏光严重，以前都是最高亮度没看出来，那天熄灯了屏幕调暗了，一下子特别明显有图。。。我在51前两个星期买的，51就跳水了如图，让人很爽，笔记本声音也很垃圾，听着很虚而且有方向性，两侧比中间小,差评
13,用了十天过来评价，首先说购物体验，这是我给评价低的原因之一。本来写的五月14能到，结果我都出差回来了，到五月24，物流信息都没更新，打过两次电话，都说没有货，正在采购，每次都说一周左右，结果过了十几天，前几天物流信息还跟新哪天到，后面干脆都不更新了。导致我出差没用上(因出差才买的，比较着急用，实体店没有这款电脑，看到京东才买)，这严重影响我的事，最后无奈，退单，重新买，这次倒是很快，第三天就到。第二，说说用机体验，整体上勉强可以，上万的本，不太值这个价，期间多次卡机，只能强制重启，打开excel，反应较慢，有时严重卡顿，根本用不了，强关。开关机，遇到几次，非常慢，都超过一分钟，有次关机，直接卡死。待机时间还可以，久了会发热，散热不太好。以上现象，不清楚到底什么原因。第三，重量，还是比较沉的，建议经常出差带电脑的还是换台轻的吧。第四，硬盘使用过，检查一下，发现以使用37次，上次在京东买的戴尔，直接4千多，太狠了。因工作着急用，本打算退了(说实话，没上市就看中这款)，就勉强用了，以后再也不会在网上买电脑了。想要工作用的，还是建议不要买这款，性价比不好，太贵，不太值得。这次，是网购最差一次。,差评
14,29号买的当天有事叫客服换了个地址然后故事就开始了，30早上我先是看到快递已经要到了心里想着顺丰还是快啊，然后它就被退回了，我蒙了下然后想到可能是我换地址的原因吧也没有多想什么，可是我之后看物流它就那么不动了一直都是被退回状态没有任何要送给我的意思，我仔细看了看是客服帮我转寄了，于是我去问客服今天能到吗，回答就只有我已经帮你转寄了啊已经转寄了啊，再见。五月一号，客服那么肯定回答我，我想我自己就算不知道物流信息也会给我好好的送到吧所以我等了一天，没有任何电话。于是我自己去顺丰公众号上去看了下上面的物流消息是30号的下午物流来了两次但都没有联系到我？我找到快递员的号码打过去是什么情况，他告诉我上面的联系号码是空号。。。等快递送到我看了快递上面的联系方式，乖乖客服真的太优秀了，帮我转寄了用的还不是我的号码，这就算了给的还是个空号？我问快递员你打了是空号没有和这边卖家联系吗，人家说当天就联系了啊可到现在还没有回复。。。当我抱着东西要走时快递员叫住了我，二十元转寄费。至于我为什么现在才评价我就想看看这客服到底什么时候才来问我快递收到了没。。。想多了我一个星期没确认收货也没人来问我。,差评
15,"这次购物让我确信了京东真的卖二手货！
这次买了小T（i5，8G，128G），买回来发现机器右上角有卡茨的异响，检测硬盘，质量不是很好，所以换货，这回换回来的也有卡茨异响，而且检测固态硬盘，发现那可真的让我傻眼，如第一张图！故接着换货，换回来还是一样的有异响，以为这个系列都是有异响了，所以就先忍忍了，虽然我6年的老本也没有这么频繁的异响！担心出问题，一直没有联网激活office，但是就是这几天的试用，突然有一天，发现office提醒激活截止只有2天了，也就是我我买的新本子office试用期只有7天，天哪，这是新本子吗？故在线询问联想工程师，从工程师嘴里套出一般新本子office试用期有1个月，也就是说，我的本子在20多天前就已经开过机了！这不是刷我吗，换来换去你给我搞个二手的过来了，直接退货了！虽然前面的两台用的时间比较短，但是试用期也只有十几天！二手货！
之前有在Thinkpad官网商城有买过一次，但是可能是出厂的时候出了一点点瑕疵，网口接触不良，所以退货来京东买的，但是起码官网卖的没有异响，office试用基本上一个月，因为注意的时候只有20多天了！
提醒一下各位买这个本子的人注意了，这3台都是8月31号或者8月29的，具体的编码我就不贴出来",差评
16,说实话，刚收到手机还觉得京东物流杠杠的，第二天就收到货了，因为是给老年人买的人，所以也没怎么在意，收到货后就点付款了，手机拿到老人家也很喜欢，为了安全起见，给老人设置得开机密码，老人用咯两天都还不错，用到第三天，输入密码就不正确了，最开始以为是老人输错了，我自己又拿着试了好几次，都显示错误，网上联系客服，叫我联系线下售后，还没把问题描述完，对方客服十分不耐烦的说这个我们解决不了，去找线下门店，真的很无奈，又回来找线上客服，客服说这种情况只能刷机，费用自理，只能选择退货，刚刚接到京东处理退货客服电话，说我这个问题不能退货，只能先拿去检测，如果是质量问题，15天之内退货，不是质量问题货品退还，我说你们是7天无理由退货，为什么不能给我退，对方说我设置了密码影响第二次销售我就呵呵了！厂家客服自己都叫我拿去刷机，就能解决掉密码的问题，到京东退货客服这里就变成影响二次销售了，这种密码问题等你们监测肯定是买家的问题，无奈只能选择撤销退货申请，自己出点银子自认倒霉，不然老年人一个在家长时间无法联系怕出什么状况，什么7天无理由退货，什么质保只能看看.不能帮客户真正解决问题，很无语！,差评
17,"屏幕很喜欢，键盘还不错，外放点个赞，触控板好坏参半，我选择禁用，好是外观美了，左右对称，很喜欢，不好的地方是太大，打字容易误触，但是有触屏，触控板对我来说基本没用，性能基本满足我的要求了，黑魂3分辨率调到1366x多少来的，我玩的还算流畅，总体还算满意吧，3颗星的程度吧。
为什么给差评？
嗯，耳机插口，换了两耳机，一入耳一头带，都是同样的右边有电流声，不管你做什么还是什么都不做，时有时无，时长时短，没有规律可言，但是出现频率很高！特别是下载东西的时候，频率特别高！(这是在激活后发现的)
并且带耳机的时候，不知道什么原因，看电影的时候会出现声音卡顿现象，就是那种突如其来的声音覆盖掉电影内某个词的感觉...很膈应人...找过客服了，并没什么用。
说实话，原本发现这个问题的时候就打算直接退货的，但是想想或许更新驱动和声卡之类的可以解决这个声音卡顿问题，加上确实挺喜欢这笔记本，所以就抱着侥幸心理联网激活了，现在嘛，后悔算不上，但是有那么一点情绪是很正常的，所以这个差评送给你们。
最后，我用耳机的频率极高，这毛病对我来说是重大缺陷，如果我未激活前就一起发现这两个问题，现在肯定已经要求退货了。",差评
18,这次京东真的是让我惊呆了。用京东五六年了。从来没有碰到这种请况。拿到手机以后一直比较信任京东，所以就没有做什么检查。就开始贴膜了。贴上膜以后开始使用，开始设置面部解锁和图案解锁。在设置图案解锁的时候就怀疑这个屏幕有点问题，一直联系记录不下来图案。没怎么注意，以为是贴了软膜的问题，就随便设置了个图案之后把面部解锁弄好了。下午一直都是用的面部解锁。晚上回家之后系统需要更新，更新之后需要重启，重启之后面部解锁不能用，必须要图案解锁之后才能使用面部解锁。所以现在这个手机一直是处于不能解锁的状态，试了无数次了。然后我又买了一张钢化膜，一直以为那个是保护膜的问题。新手机舍不得乱划。回来换了一下，还是不得行。而且这个手机的屏幕的灵敏度是有问题的。下半部分有的地方都不是很灵！所以最后换货了，但是京东售后的服务让我真的很生气，两张膜70多块钱，当时我说的是赔付我就不要了，你反正换货的时候快递给我一个膜就可以了。但是他们没有发货，直接就说我给我补偿2000个京豆，我说虽然有我的责任，但是京东赔付京豆的话最起码得给我5000个，不然说不过去，然后天天给我打电话，讨价还价。真的是**的一逼！,差评
19,这次是最气愤的一次购物！有两点：一、4月5日购买的显示次日达，4月6号订单停止（期间没有任何通知），问了客服说是电脑包从上海发货，要再等一天；4月7号仍然订单停止，问了客服说是电脑包到货了，马上发货；4月8说今天可以到，仍然没有发货（查询订单仍然停止，联系客服说到货时间以系统显示为准，没法解释了呵呵）；4月9号上午订单跟踪显示从南京发货（忽悠啊）。二、终于收到货，设置完（大约20分钟）需要重启，然后就不能开机了（期间咨询了很多IT人士用了常用的恢复方法都不行，我也不是第一次用苹果产品，设置总不会出问题的）找了客服，一如既往使用复制的话术（让去售后检修）开车一个多小时去了售后一听是京东购买，售后机器没看就说这是出厂系统问题，他们不包系统并且让在哪买的找谁修（他们也能修-收费200）。回家后找人远程恢复（全程举着摄像头），**工程师也是整了好久，试验了很多次才弄好，他说可能是硬件有问题（我是急用真心不想折腾）。在京东自营购买就是想图个保障，现在看来，一切还是要靠自己，希望后来者下单之前想清楚了（期间客服让我返修，但是新买开机20分钟的机子我着实不愿意折腾，从来不相信别人会爱惜我的电脑,差评
20,"我真的想说大家都不要上当
首先声明：这个手机查序列号保质期确实是一年所以我才开封的，但是开机后1、屏幕发黄，这是换过手机屏的特征2、我第一次拿这个手机去朋友家竟然自动链接Wi-Fi，客服竟然说您朋友家的Wi-Fi有没有密码？ 我能不知道有没有密码吗？我甚至都怀疑这是我之前在中联广场卖了的那个5s，那个手机也换过屏幕，不会我的手机出去转了一圈又回来了吧，那我真是太倒霉了&hellip;&hellip;3、图一，卡槽针跟曲别针没有什么区别，又软又黑还有开口我不知道说什么了4、图二，我还原所有设置手机屏幕就变成这样了，试问谁的新手机会这样，如果有，那排队买iphone的人可能是白痴吧5、图三，激活了3次才成功，一开始还是3G信号6、一开始开机一点电都没有，连虚电都没有，如果是正版手机至少有50%的电，冲了3分钟的电屏幕自动亮了自动开机，而且机体滚烫！！！后来充满电，拔下线来，用了几分钟又发热了！！7、客服一直让我去检测，如果有问题就退货，但不得不佩服中国人造假技术越来越厉害了，如果能查出来你还会坚持让我去查吗？我也想相信你们因为毕竟保修期确实是一年，这我承认，但是，这个手机目前为止所有的毛病都不是一个新手机应该有的！！",差评
21,这颗一星我给京东的服务与售后！我使用京东还有苏**购买电子产品已经很长时间，几个手机，两台电脑，我一直还是非常信赖商家的质量与服务！可这一次的体验真的是太差劲了！我年初一收到的本，等于我自提拿的货，赶上过年忙，开工工作忙，电脑等于一直没有用，但由于我是真的很期待，所以同期配件我就买来了，其中包含一个ThinkPad蓝牙鼠标，拿到后我试着连接，这回就发现问题了！除了开机连了一次后，之后就断开再也没有出现蓝牙这个标志，在设置里只显示已关闭！没有打开选项！紧接着，电脑重启问题也出现卡在logo页面，只能强制关机，其间把系统还原了一次还是同样问题！发现这些是已经是3月3号，（应该是在2号还发现，同型号这个电脑*），从3号开始联系客服一直到现在，问题始终没有解决也得不到一个满意的答案！客服咬死超过退换货周期，保价周期！提出给我*京券的补偿建议，对比作为消费者，起初我非常气愤要求退换货，我自然不能接受，同理心，你*买了个存在问题的笔记本？你能接受这样的服务？磨叽到现在，我身心俱疲，退一步，我可以不退不换不用你修，我要求补差价给我！现在再退一步，请给我消费者一个说法！打字到限制，,差评
22,这是板载内存条，不能升级内存条，也只能装一条，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼，卡的一逼一定要退，退，退，退,差评
23,"在京东买成钻石了已经，这次真都想给个零星。
第一次的本出现了花屏（看视频/开盖），当时由于手头工作较忙在单位用win机器做开发，使用该mac的频率很低，确认花屏的时候已经到了购买后第15天，致电京东告知我要么返回京东做7-15天检测，要么去本地苹果售后做检测，由于就要出差外地正是用本的时候，就在本地售后做的检测，坐标石家庄东方大厦，这是一家Apple Premium（比较优质）的售后，拿去检测一天答曰一切正常，没办法只好返回京东检测，好在一周左右后给我换了。
担心的还是发生了，如果说第一次是小概率事件，是我中奖，那么第二次真的无法接受，底面拆机接缝处的小痕迹，左侧印象细微的磕痕我都可以说服自己这是无所谓的事，但是使用一个半小时死机什么鬼？（只打开chrome的情况下），第二天F11（音量减小键）连击，看视频中自动静音，自动最大音什么鬼？
基于此我申请了退货，但京东的几个客服反复以强硬的态度告诉我依然两个选择，要么去售后检测，要么返回京东7-15天的检测。
至此距我第一次购买已经一个月了，耽误时间的什么就不说了，真是被这事恶心到了。
是的，京东是大厂，就给你发次品你能咋地，都是间歇性都奇",差评
24,第一次买电脑就被坑了，超级郁闷，真的是坑死人不偿命，买回来开机将近两分钟，而且非常卡，去修电脑的地方给人家专业人士看了看，人家都说这个笔记本很坑，帮我换固态硬盘还找不到借口，只好把原来的硬盘拆下来，不看不知道，人家说做工超级简陋，他们委婉的跟我说说实话这个电脑根本4000都不值，电池什么的和其他牌子的电脑没法比，根本，更加坑人的是我买了还不到四天想退货，各种拐弯抹角的不能退，打工挣得钱全被坑了，无良商家呀，想买的老铁们千万不要再重蹈我的覆辙了???，血的教训啊，电脑的塑料外壳要多差有多差，厚的一批，???????????????，相信我，买了就会后悔，后悔，后悔，后悔，后悔，差评，差评，差评，差评，要多差有多差，要多差有多差，超级垃圾，垃圾，垃圾，垃圾，垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾，如果不是不能这下去了，我还要写下去,差评
